id,title,date,time,location,type,difficulty,capacity,description,speaker,organizer
1,初心者のための宇宙観測入門,2026-01-15,19:00 - 21:00,オンライン（Zoom）,オンライン,初心者向け,50,望遠鏡の選び方から星座の見つけ方まで、宇宙観測の基礎を学べる入門講座です。「何から始めればいいかわからない」という方に最適。質問タイムも充実しており、気軽に疑問を解消できます。録画視聴も可能です。,山田太郎 博士（天体物理学者）,Cosmo Base
2,ロケット開発最前線 - 民間宇宙開発の今,2026-01-20,14:00 - 16:00,東京都渋谷区,講演会,中級者向け,100,スペースX、ブルーオリジンなど、民間企業によるロケット開発の最前線を現役エンジニアが解説。再使用ロケット技術や今後の宇宙輸送の展望について、技術的な視点から深掘りします。質疑応答時間も設けています。,佐藤花子 氏（ロケットエンジニア）,Cosmo Base × スペーステクノロジー株式会社
3,冬の星空観測会 - オリオン座を見よう,2026-01-25,18:00 - 21:00,多摩地域（詳細は参加者にお知らせ）,観測会,全レベル,30,冬の代表的な星座・オリオン座とその周辺の天体を観測します。望遠鏡の無料レンタルあり。天体写真の撮り方ミニ講座も実施。天候不良の場合は室内で宇宙クイズ大会を開催します。,,Cosmo Base × 天文愛好会
4,宇宙ビジネス交流会 - 産業をつなぐ夜,2026-02-05,19:00 - 22:00,東京都渋谷区,交流会,全レベル,80,宇宙関連企業・団体・研究機関の方々とのネットワーキングイベント。宇宙ビジネスに興味がある方、異業種連携を考えている方、学生の方も大歓迎。軽食・ドリンク付き。名刺交換会や5分間プレゼンテーションタイムもあります。,,Cosmo Base × 未来宇宙産業フォーラム
5,人工衛星データ解析ワークショップ,2026-02-10,10:00 - 17:00,オンライン（Zoom + 資料配布）,ワークショップ,上級者向け,25,実際の衛星画像データを使って、データ解析の手法を実践的に学びます。Pythonの基礎知識が必要です。農業、災害監視、都市計画など、様々な分野での活用事例を紹介。ハンズオン形式で進めるため、PCをご用意ください。,田中一郎 教授（リモートセンシング専門）,Cosmo Base
6,月面探査の最新動向 - アルテミス計画とその先,2026-02-18,19:00 - 20:30,オンライン（YouTube Live）,オンライン,初心者向け,100,NASAのアルテミス計画や各国の月面探査プロジェクトについて、最新情報をわかりやすく解説。月面基地の構想や、月の資源利用についても触れます。初心者でも理解できる内容です。アーカイブ視聴可能。,,Cosmo Base
7,親子で楽しむ宇宙工作教室,2026-02-22,13:00 - 16:00,東京都内（詳細は参加者にお知らせ）,ワークショップ,初心者向け,20,小学生とその保護者を対象にした宇宙工作イベント。ペットボトルロケットを作って飛ばしたり、星座早見盤を作成します。宇宙の不思議を楽しく学べる内容です。材料費込み。,,Cosmo Base × NPO法人スターキッズ
8,【他団体主催】JAXA相模原キャンパス特別公開,2026-03-01,10:00 - 16:00,神奈川県相模原市 JAXA相模原キャンパス,講演会,全レベル,1000,JAXA宇宙科学研究所が年に一度開催する特別公開イベント。ロケットや人工衛星の実物展示、研究者による講演、実験体験コーナーなど、盛りだくさんの内容です。入場無料・事前申込不要。Cosmo Baseからも見学ツアーを企画予定です。,,JAXA宇宙科学研究所（※Cosmo Base主催ではありません）
9,宇宙食試食＆トークイベント,2026-03-08,15:00 - 17:00,東京都内,交流会,全レベル,40,実際の宇宙食を試食しながら、宇宙飛行士の生活や宇宙での食事について学ぶイベント。JAXA出身の講師が宇宙ステーションでの体験談を語ります。宇宙食のお土産付き。,,Cosmo Base
10,【他団体主催】全国プラネタリウム巡り - 多摩六都科学館,2026-03-15,14:00 - 17:00,東京都西東京市 多摩六都科学館,観測会,全レベル,50,世界最大級のプラネタリウムを誇る多摩六都科学館での特別上映会。最新の投映システムで、まるで宇宙に行ったかのような体験ができます。Cosmo Baseメンバーの団体割引あり。上映後には解説員との質疑応答タイムも。,,多摩六都科学館（※Cosmo Base主催ではありません）
11,ブラックホールの謎に迫る,2026-03-20,19:00 - 21:00,オンライン（Zoom）,オンライン,中級者向け,60,天体物理学の最大の謎の一つ、ブラックホール。その正体と最新研究について、専門家が詳しく解説します。事象の地平線、ホーキング放射、ブラックホール撮影成功の舞台裏など、興味深いトピック満載です。,山田太郎 博士,Cosmo Base
12,春の銀河観測会 - M87を見よう,2026-03-28,19:00 - 22:00,多摩地域,観測会,全レベル,35,春の銀河シーズン到来！おとめ座銀河団を中心に、数多くの銀河を観測します。ブラックホール撮影で有名なM87銀河も観測予定。望遠鏡レンタル無料。初心者向けレクチャーあり。,,Cosmo Base × 天文愛好会